Sequence ID,Description,Query ID,Target ID,Coverage,Percent Identity,Length,Mismatch,Gap Open,Query Start,Query End,Target Start,Target End,Strandedness,E-Value,Bit Score,Classification
KJ940004.1_17,"KJ940004.1_17 'Catharanthus roseus' phytoplasma isolate TM1741_G06_periwinkle chaperonin-60 (cpn60) gene, partial cds",KJ940004.1_17,b27105 KJ940013 Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma SF1,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ939976.1_1,KJ939976.1_1 Catharanthus roseus,KJ939976.1_1,b27105 KJ940013 Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma SF1,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ940014.1_23,"KJ940014.1_23 'Linum usitatissimum' phytoplasma isolate SF-2_UT chaperonin-60 (cpn60) gene, partial cds",KJ940014.1_23,b27105 KJ940013 Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma SF1,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ939990.1_8,"KJ939990.1_8 'Vinca sp.' phytoplasma isolate JB0071_B02_CFIA1-1 chaperonin-60 (cpn60) gene, partial cds",KJ939990.1_8,b27155 KJ939990 Candidatus Phytoplasma sp. rubi Rubus stunt phytoplasma RS,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ940018.1_27,"KJ940018.1_27 'Thlaspi arvense' phytoplasma isolate TM1760_F01_SWR2-H280P chaperonin-60 (cpn60) gene, partial cds",KJ940018.1_27,b27105 KJ940013 Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma SF1,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ939998.1_15,"KJ939998.1_15 'Allium cepa' phytoplasma isolate TM1311_C01_O2lfgroEL-2 chaperonin-60 (cpn60) gene, partial cds",KJ939998.1_15,b27096 KJ939998 Candidatus Phytoplasma asteris Allium cepa phytoplasma O2L,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ939985.1_4,"KJ939985.1_4 'Brassica napus' phytoplasma isolate TM1524_G05_canola-96_2 chaperonin-60 (cpn60) gene, partial cds",KJ939985.1_4,b27096 KJ939998 Candidatus Phytoplasma asteris Allium cepa phytoplasma O2L,100,99.638,552,2,0,1,552,1,552,plus,0.0,987,Phytoplasma sequence (+ strand)
KJ939995.1_12,"KJ939995.1_12 'Catharanthus roseus' phytoplasma isolate BP0265_G12_CVB chaperonin-60 (cpn60) gene, partial cds",KJ939995.1_12,b27145 KJ939995 Candidatus Phytoplasma asteris Aster yellows phytoplasma CVB,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ940013.1_22,"KJ940013.1_22 'Linum usitatissimum' phytoplasma isolate TM1454_F09_SF-1_F-80 chaperonin-60 (cpn60) gene, partial cds",KJ940013.1_22,b27105 KJ940013 Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma SF1,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ939994.1_11,"KJ939994.1_11 'Catharanthus roseus' phytoplasma isolate BP0265_G06_COL chaperonin-60 (cpn60) gene, partial cds",KJ939994.1_11,b27144 KJ939994 Candidatus Phytoplasma asteris Aster yellows phytoplasma AY-Col,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ939984.1_3,"KJ939984.1_3 'Brassica napus' phytoplasma isolate canola chaperonin-60 (cpn60) gene, partial cds",KJ939984.1_3,b27096 KJ939998 Candidatus Phytoplasma asteris Allium cepa phytoplasma O2L,100,99.819,552,1,0,1,552,1,552,plus,0.0,991,Phytoplasma sequence (+ strand)
KJ939988.1_7,"KJ939988.1_7 'Daucus carota' phytoplasma isolate TM1311_C11_carrgroEL-4 chaperonin-60 (cpn60) gene, partial cds",KJ939988.1_7,b27105 KJ940013 Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma SF1,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ940015.1_24,"KJ940015.1_24 'Linum usitatissimum' phytoplasma isolate BP0163_C01_SF-3_2 chaperonin-60 (cpn60) gene, partial cds",KJ940015.1_24,b27105 KJ940013 Candidatus Phytoplasma asteris Linum usitatissimum phytoplasma SF1,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
KJ939997.1_14,"KJ939997.1_14 'Allium cepa' phytoplasma isolate AY chaperonin-60 (cpn60) gene, partial cds",KJ939997.1_14,b27096 KJ939998 Candidatus Phytoplasma asteris Allium cepa phytoplasma O2L,100,99.638,552,2,0,1,552,1,552,plus,0.0,987,Phytoplasma sequence (+ strand)
KJ940012.1_21,"KJ940012.1_21 'Brassica napobrassica' phytoplasma isolate TM1311_B09_rutagroEL-1 chaperonin-60 (cpn60) gene, partial cds",KJ940012.1_21,b27096 KJ939998 Candidatus Phytoplasma asteris Allium cepa phytoplasma O2L,100,99.638,552,2,0,1,552,1,552,plus,0.0,987,Phytoplasma sequence (+ strand)
KJ939996.1_13,"KJ939996.1_13 'Catharanthus roseus' phytoplasma isolate BP0265_G08_GY chaperonin-60 (cpn60) gene, partial cds",KJ939996.1_13,b27144 KJ939994 Candidatus Phytoplasma asteris Aster yellows phytoplasma AY-Col,100,100.000,552,0,0,1,552,1,552,plus,0.0,996,Phytoplasma sequence (+ strand)
